billing,name
"36.43","i-9024675032239693393"
"48.58","i-7346249508570058976"
"17.20","i-7965113519501585023"
"25.30","i-3182576734286228000"
"33.40","i-2166453666095817223"
"33.40","i-6962778404432896373"
"25.30","i-41891884892413625"
"17.20","i-3571329424143669026"
"3.0","vol-splunk-insights-for-infrastructure-splunk-insights-for-infrastructure-northamerica-northeast1-a"
"3.0","vol-disk-1-splunk-insights-for-infrastructure-northamerica-northeast1-a"
"7.3","vol-instance-1-instance-1-us-west1-b"
"7.3","vol-disk-1-instance-1-us-west1-b"
"4.3","vol-instance-2-instance-2-us-central1-c"
"4.3","vol-disk-1-instance-2-us-central1-c"
"3.0","vol-instance-3-instance-3-us-central1-c"
"3.0","vol-disk-1-instance-3-us-central1-c"
"3.9","vol-instance-4-instance-4-us-central1-c"
"3.9","vol-disk-1-instance-4-us-central1-c"
"4.3","vol-instance-5-instance-5-us-central1-a"
"4.3","vol-disk-1-instance-5-us-central1-a"
"2.2","vol-instance-6-instance-6-northamerica-northeast1-a"
"2.2","vol-disk-1-instance-6-northamerica-northeast1-a"
"3.4","vol-instance-7-instance-7-asia-northeast1-b"
"3.4","vol-disk-1-instance-7-asia-northeast1-b"
